(EDU 3204, LEC 1, TR, 11:30AM, 12:45PM, Mariam Haider)
(EDU 3205, LEC 1, MW, 3:00PM, 4:15PM, Joham Aziz)
(EDU 3206, LEC 1, TR, 10:00AM, 11:15AM, Jazib Zahir)
(EDU 3212, LEC 1, MW, 5:00PM, 6:15PM, Fatima Iftikhar)
(EDU 3215, LEC 1, TR, 3:00PM, 4:15PM, Mariam Haider)
(EDU 325, LEC 1, MW, 11:30AM, 12:45PM, Mehreen Noon)
(EDU 344, LEC 1, TR, 5:00PM, 6:15PM, Ghazi Taimoor Mirza)
(EDU 353, LEC 1, TR, 10:00AM, 11:15AM, Hasham Nasir)
(EDU 414, LEC 1, TR, 10:00AM, 11:15AM, Sara Zubair)
(EDU 453, LEC 1, TR, 11:30AM, 12:45PM, Soufia Anis Siddiqi)
(EDU 510, LEC 1, T, 10:00AM, 12:50PM, Tayyaba Tamim)
(EDU 515, LEC 1, TR, 12:00PM, 1:15PM, Irfan Muzaffar)
(EDU 525, LEC 1, MW, 9:00AM, 10:15AM, Yasira Waqar)
(EDU 540, LEC 1, M, 2:00PM, 4:50PM, Hasham Nasir)
(EDU 560, LEC 1, TR, 2:00PM, 3:15PM, Ahmad Ayub)
(EDU 590, FLD 1, F, 9:00AM, 1:50PM, Daniyal Yousaf)
(EDU 616, LEC 1, MW, 12:30PM, 1:45PM, Sara Zubair)
(EDU 623, LEC 1, MW, 3:00PM, 4:15PM, Mariam Haider)
(EDU 690, LEC 1, T, 2:00PM, 4:50PM, Gulab Khan)
(EDU 690, LEC 2, T, 2:00PM, 4:50PM, Razia Iram Sadik)
(EDU 693, LEC 1, R, 11:00AM, 11:50AM, Sannia Hussain)
(EDU 693, LEC 2, F, 9:00AM, 9:50AM, Sannia Hussain)
(EDUX 510, LEC 1, U, 11:00AM, 12:50PM, Aaishay Haque)
(EDUX 510, nan, U, 2:00PM, 3:50PM, Aaishay Haque)
(EDUX 512, LEC 1, SU, 4:00PM, 5:50PM, Razia Iram Sadik)
(EDUX 525, LEC 1, SU, 9:00AM, 10:50AM, Yasira Waqar)
(EDUX 540, LEC 1, S, 2:00PM, 5:50PM, Atif Rahim Khan)
(EDUX 560, LEC 1, SU, 9:00AM, 10:50AM, Jessica Albrent)
(EDUX 590, FLD 1, S, 2:00PM, 3:50PM, Daniyal Yousaf)
(EDUX 645, LEC 1, U, 11:00AM, 12:50PM, Atif Rahim Khan)
(EE 569, LEC 1, MW, 9:30AM, 10:45AM, Hassan Jaleel)
(FINN 372, LEC 1, TR, 12:30PM, 1:45PM, Nauman Afzal Cheema)
(FINN 403, LEC 1, TR, 11:00AM, 12:15PM, Talha Farrukh)
(FINN 441, LEC 1, MW, 12:30PM, 1:45PM, Saad Azmat)
(FINN 453, LEC 1, TR, 2:00PM, 3:15PM, Ferhana Ahmed)
(FINN 454, LEC 1, MW, 8:00AM, 9:15AM, nan)
(FINN 7201, LEC 1, R, 8:00AM, 11:00AM, TBA)
(FINN 8001, SEM 1, W, 12:00PM, 3:00PM, TBA)
(FINN 8401, SEM 1, T, 3:00PM, 6:00PM, TBA)
(FMG 5101, LEC 1, FSU, 3:00PM, 5:05PM, nan)
(GSL 213, LEC 1, MW, 11:00AM, 12:50PM, Sarah Humayun)
(GSS 263, LEC 1, TR, 8:00AM, 9:50AM, Maria Amir)
(GSS 302, LEC 1, MW, 8:00AM, 9:50AM, Maria Amir)
(HIST 101, LEC 1, TR, 1:00PM, 2:50PM, nan)
(HIST 124, LEC 1, MW, 4:00PM, 5:50PM, Muhammad Ali Raza)
(HIST 2211, LEC 1, TR, 8:00AM, 9:50AM, Hassan Haider Karrar)
(HIST 2218, LEC 1, TR, 4:00PM, 5:50PM, Waqar Zaidi)
(HIST 2324, LEC 1, TR, 10:00AM, 11:50AM, Ilyas Ahmad Chattha)
(HIST 3202, LEC 1, TR, 12:00PM, 1:50PM, Ilyas Ahmad Chattha)
(HIST 3302, LEC 1, MW, 4:00PM, 5:50PM, Ameem Lutfi)
(HIST 3303, LEC 1, MW, 2:00PM, 3:50PM, Ali Usman Qasmi)
(HIST 4303, LEC 1, TR, 2:00PM, 3:50PM, Ameem Lutfi)
(HIST 435, LEC 1, MW, 12:00PM, 1:50PM, Muhammad Ali Raza)
(LANG 122, LEC 1, WF, 10:00AM, 11:50AM, TBA)
(LANG 123, LEC 1, TR, 10:00AM, 11:50AM, Zahid Hussain)
(LANG 123, LEC 2, TR, 4:00PM, 5:50PM, Zahid Hussain)
(LANG 124, LEC 1, WF, 2:30PM, 4:20PM, Hafiz Abdul Qadeer)
(LANG 124, LEC 2, WF, 4:30PM, 6:20PM, Hafiz Abdul Qadeer)
(LANG 127, LEC 1, TR, 2:00PM, 3:50PM, Muhammad Iftikhar)
(LANG 127, LEC 2, TR, 4:30PM, 6:20PM, Muhammad Iftikhar)
(LANG 128, LEC 1, MW, 1:30PM, 3:20PM, Ashok Kumar Khatri)
(LANG 128, LEC 2, MW, 4:00PM, 5:50PM, Ashok Kumar Khatri)
(LANG 129, LEC 1, MW, 4:00PM, 5:50PM, Imad .)
(LANG 129, LEC 2, TR, 8:00AM, 9:50AM, Imad .)
(LAW 102, LEC 1, TR, 10:00AM, 11:50AM, Hiba Akbar)
(LAW 102, LEC 2, MW, 12:30PM, 2:20PM, Marva Khan)
(LAW 102, LEC 3, TR, 3:00PM, 4:50PM, TBA)
(LAW 220, LEC 1, MW, 12:00PM, 1:50PM, nan)
(LAW 220, LEC 2, WF, 3:00PM, 4:50PM, Ahmed Hasan Khan)
(LAW 222, LEC 1, WF, 3:00PM, 4:50PM, Syeda Zehra Zaidi)
(LAW 222, LEC 2, MW, 12:30PM, 2:20PM, Uzair Kayani)
(LAW 240, LEC 1, TR, 10:00AM, 11:50AM, Angbeen Atif Mirza)
(LAW 240, LEC 2, TR, 2:30PM, 4:20PM, Hiba Akbar)
(LAW 280, LEC 1, TR, 12:30PM, 2:20PM, Adnan Sattar)
(LAW 280, LEC 2, TR, 10:00AM, 11:50AM, Syeda Zehra Zaidi)
(LAW 315, LEC 1, MW, 3:00PM, 4:50PM, Sarah Humayun)
(LAW 3202, LEC 1, TR, 2:00PM, 3:50PM, nan)
(LAW 3214, LEC 1, TR, 12:00PM, 1:50PM, Faiza .)
(LAW 346, LEC 1, TR, 4:30PM, 6:20PM, Usama Khawar)
(LAW 352, LEC 1, TR, 10:00AM, 11:50AM, Sikandar Ahmed Shah)
(LAW 352, LEC 2, MW, 1:00PM, 2:50PM, Madiha Talat)
(LAW 359, LEC 1, TR, 2:00PM, 3:50PM, Aisha Ahmad)
(LAW 3912, LEC 1, WF, 3:00PM, 4:50PM, TBA)
(LAW 4313, LEC 1, TR, 4:00PM, 5:50PM, Ali Awais)
(LAW 445, LEC 1, MW, 9:30AM, 11:20AM, TBA)
(LAW 456, LEC 1, MW, 12:00PM, 1:50PM, Muhammad Azeem)
(LAW 471, LEC 1, MW, 10:00AM, 11:50AM, TBA)
(LAW 471, LEC 2, MW, 4:00PM, 5:50PM, TBA)
(LAW 472, LEC 1, TR, 4:00PM, 5:50PM, Haider Rasul Mirza)
(LAW 4812, LEC 1, TR, 2:00PM, 3:50PM, TBA)
(LAW 4812, LEC 2, MW, 3:00PM, 4:50PM, TBA)
(LAW 4904, LEC 1, F, 2:00PM, 3:50PM, Asad Farooq)
(LAW 4913A, LEC 1, T, 3:00PM, 4:50PM, Angbeen Atif Mirza)
(LAW 494, LEC 1, WF, 3:30PM, 5:20PM, Angbeen Atif Mirza)
(LUMS 100, LEC 1, F, 8:00AM, 9:15AM, TBA)
(LUMS 100, nan, F, 8:00AM, 9:15AM, TBA)
(LUMS 100, nan, F, 8:00AM, 9:15AM, TBA)
(LUMS 100, nan, F, 12:00PM, 1:15PM, TBA)
(LUMS 100, nan, F, 8:00AM, 9:15AM, TBA)
(LUMS 100, nan, F, 12:00PM, 1:15PM, TBA)
(LUMS 100, LEC 2, F, 10:00AM, 11:15AM, TBA)
(LUMS 100, nan, F, 10:00AM, 11:15AM, TBA)
(LUMS 100, nan, F, 10:00AM, 11:15AM, TBA)
(LUMS 100, nan, F, 10:00AM, 11:15AM, TBA)
(LUMS 100, nan, F, 10:00AM, 11:15AM, TBA)
(LUMS 100, nan, F, 10:00AM, 11:15AM, TBA)
(LUMS 100, LEC 3, F, 5:00PM, 6:15PM, TBA)
(LUMS 100, nan, F, 5:00PM, 6:15PM, TBA)
(LUMS 100, nan, F, 5:00PM, 6:15PM, TBA)
(LUMS 100, nan, F, 3:00PM, 4:15PM, TBA)
(LUMS 100, nan, F, 5:00PM, 6:15PM, TBA)
(LUMS 100, nan, F, 3:00PM, 4:15PM, TBA)
(LUMS 100, LEC 4, F, 3:00PM, 4:15PM, TBA)
(LUMS 100, nan, F, 3:00PM, 4:15PM, TBA)
(LUMS 100, nan, F, 3:00PM, 4:15PM, TBA)
(LUMS 100, nan, F, 8:00AM, 9:15AM, TBA)
(LUMS 100, nan, F, 3:00PM, 4:15PM, TBA)
(LUMS 100, nan, F, 8:00AM, 9:15AM, TBA)
(MATH 100, LEC 1, MW, 11:30AM, 12:45PM, TBA)
